Region,Date,Tempmax,Tempmin,Temperature,Feelslikemax,Feelslikemin,Feelslike,Dew,Humidity,Precipitation,Precipprob,Precipcover,Preciptype,Snow,Snowdepth,Windgust,Windspeed,Winddir,Sealevelpressure,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Severerisk,Sunrise,Sunset,Moonphase,Conditions,Description,Icon,Stations
auvergne rhone alpes,2014-04-30,14.8,9.3,11.8,14.8,8.8,11.8,8,78.1,5.224,100,50,rain,0,0,37.2,17.4,312.8,1012.8,95.5,42.4,234.2,20.3,7,,2014-04-30T06:30:04,2014-04-30T20:46:35,0.04,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-01,18.4,8.6,12.7,18.4,7.9,12.6,8.6,77.6,2.422,100,16.67,rain,0,0,45.7,13.1,54.3,1014,92.8,27.2,198.4,17.2,7,,2014-05-01T06:28:32,2014-05-01T20:47:52,0.07,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-02,15.7,9.9,12.2,15.7,9.3,12.2,9.2,82.7,15.868,100,70.83,rain,0,0,51.9,30.4,337.4,1013.5,96.6,34.1,93.8,8.1,3,,2014-05-02T06:27:02,2014-05-02T20:49:09,0.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-03,12.5,9.1,11,12.5,5.8,10.7,6.3,73.1,0.041,100,8.33,rain,0,0,49.2,31.6,347.6,1018.5,91.9,23.5,185.5,16.1,7,,2014-05-03T06:25:32,2014-05-03T20:50:25,0.13,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-04,16.9,5.2,10.5,16.9,2.2,9.1,3.7,64.4,0,0,0,,0,0,41.2,23.1,346.3,1018.9,62.7,33.9,313.9,27.1,9,,2014-05-04T06:24:04,2014-05-04T20:51:41,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-05,24.2,4.4,14.3,24.2,3.9,14.3,3.9,55.5,0,0,0,,0,0,48.7,29.1,173,1015.8,29.7,39.7,325.8,28.2,9,,2014-05-05T06:22:38,2014-05-05T20:52:57,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-06,19,14.3,16.1,19,14.3,16.1,5.8,51.3,0.765,100,16.67,rain,0,0,56.3,34.8,179.4,1016.2,80.9,45.4,175.6,15.3,6,,2014-05-06T06:21:12,2014-05-06T20:54:13,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LFLS,07475099999,LFLY,07481099999,LFMH,LFLL,07477099999,07480099999,07486099999,07482099999"
auvergne rhone alpes,2014-05-07,19.6,11.7,14.9,19.6,11.7,14.9,8.8,67.9,4.825,100,37.5,rain,0,0,49.5,24,184,1018.4,84.8,42.6,171.6,14.7,6,,2014-05-07T06:19:49,2014-05-07T20:55:28,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-08,20.9,8.1,15.2,20.9,8.1,15.2,9.1,69.2,0,0,0,,0,0,18.4,8.6,121.3,1019.5,81.8,40.7,283.2,24.4,9,,2014-05-08T06:18:26,2014-05-08T20:56:42,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-09,22.5,12.2,18.1,22.5,12.2,18.1,10.8,63.4,0.006,100,4.17,rain,0,0,31.1,19.4,8.6,1019.8,67.8,42.8,261.5,22.6,9,,2014-05-09T06:17:06,2014-05-09T20:57:57,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07475099999,LFLY,07481099999,07477099999,07480099999,07486099999,07482099999,07385099999"
auvergne rhone alpes,2014-05-10,21.7,11.2,17.4,21.7,11.2,17.4,10.6,66.1,0.006,100,4.17,rain,0,0,20.8,11,170,1017.6,69.8,50,221.9,19.2,7,,2014-05-10T06:15:46,2014-05-10T20:59:11,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-11,18.8,12.2,15.6,18.8,12.2,15.6,7,57.8,0.983,100,16.67,rain,0,0,51.2,34.1,292.5,1015.5,79.9,51.9,233.8,20.4,7,,2014-05-11T06:14:29,2014-05-11T21:00:24,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-12,15,8.7,12.2,15,8.3,12.1,3.9,58.1,0.181,100,16.67,rain,0,0,28.1,13.7,311.7,1018.6,83.9,52.4,198,17.1,7,,2014-05-12T06:13:13,2014-05-12T21:01:37,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-13,14.6,7.3,10.9,14.6,7.3,10.8,5,68,1.093,100,41.67,rain,0,0,44.8,29.4,338.2,1020.7,80.4,49.7,213.2,18.5,6,,2014-05-13T06:11:59,2014-05-13T21:02:49,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-14,16.2,8.6,11.6,16.2,8,11.4,5.8,68.3,0.308,100,12.5,rain,0,0,54.1,26.7,346.3,1028.5,79.7,49.2,253.6,21.8,8,,2014-05-14T06:10:46,2014-05-14T21:04:01,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-15,16.7,7.6,11.6,16.7,4.8,10.9,4.5,63.9,0.006,100,4.17,rain,0,0,57.9,36.6,350.6,1028.3,45.5,36.6,303.4,26.2,9,,2014-05-15T06:09:36,2014-05-15T21:05:12,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-16,19,6.1,13,19,4.2,12.1,3.4,54.2,0,0,0,,0,0,59.3,37.8,354.8,1022.3,36.5,40.6,331.3,28.6,9,,2014-05-16T06:08:27,2014-05-16T21:06:22,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-17,22,9,15.8,22,8.4,15.8,4.4,48,0,0,0,,0,0,42.9,23.6,348.4,1017,31.3,54.8,340.2,29.5,10,,2014-05-17T06:07:20,2014-05-17T21:07:31,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-18,24.3,8,16.9,24.3,8,16.9,5.6,50.7,0,0,0,,0,0,38.8,23.8,169,1013,9.7,42.4,331.4,28.6,9,,2014-05-18T06:06:14,2014-05-18T21:08:40,0.63,Clear,Clear conditions throughout the day.,clear-day,"LFLS,07475099999,LFLY,07481099999,LFMH,LFLL,07477099999,07480099999,07486099999,07482099999"
auvergne rhone alpes,2014-05-19,22.5,11.7,17.9,22.5,11.7,17.9,7.4,51.1,0,0,0,,0,0,47.4,29.3,173,1009,64.1,47.2,276.4,23.9,7,,2014-05-19T06:05:11,2014-05-19T21:09:48,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-20,22.1,15.5,19.1,22.1,15.5,19.1,9.9,55.4,0,0,0,,0,0,56.9,34.2,173.7,1011.5,77.2,48.5,243.8,21.1,7,,2014-05-20T06:04:10,2014-05-20T21:10:55,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-21,27.7,15.2,20.9,27.1,15.2,20.8,9.9,52.6,0,0,0,,0,0,66.4,38.1,160.7,1009.2,82,41.4,251.4,21.7,8,,2014-05-21T06:03:10,2014-05-21T21:12:01,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-22,22.9,12.6,18,22.9,12.6,18,10.3,61.8,4.323,100,33.33,rain,0,0,61.9,40.3,184.3,1009,86.7,36.5,188.7,16.4,6,,2014-05-22T06:02:13,2014-05-22T21:13:07,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-23,22.7,11.1,16.2,22.7,11.1,16.2,8.4,63.6,8.715,100,33.33,rain,0,0,55.6,31.3,191,1010.9,64.3,45.2,320.4,27.6,9,,2014-05-23T06:01:17,2014-05-23T21:14:11,0.81,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-24,21.4,8.3,14.8,21.4,7.1,14.3,5.6,58,0.312,100,12.5,rain,0,0,30.8,12.9,180.2,1017.4,43.7,50.9,346.2,30,10,,2014-05-24T06:00:24,2014-05-24T21:15:14,0.84,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-25,22.8,9.8,16.2,22.8,9.8,16.2,7.2,57.3,0.01,100,8.33,rain,0,0,37,17.7,177.9,1017.2,73,52.8,169.8,14.6,7,,2014-05-25T05:59:33,2014-05-25T21:16:16,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-26,21.1,12.9,15.9,21.1,12.9,15.9,10,70.7,13.866,100,45.83,rain,0,0,35.6,20.8,164.4,1015.6,94.8,42.5,224.9,19.3,7,,2014-05-26T05:58:44,2014-05-26T21:17:16,0.92,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-27,14.2,11.2,12.5,14.2,11.2,12.5,9.5,81.9,14.67,100,66.67,rain,0,0,27.6,14.3,283.5,1017.2,99.5,28.1,208.2,17.9,7,,2014-05-27T05:57:57,2014-05-27T21:18:16,0.95,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-28,21.1,8,14.7,21.1,8,14.7,8,67.7,0.037,100,8.33,rain,0,0,29.2,13.8,359.2,1014.2,53.2,35.1,335,29,9,,2014-05-28T05:57:12,2014-05-28T21:19:14,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-29,20.7,9.2,16,20.7,9.2,16,7.9,59.8,0.011,100,4.17,rain,0,0,37.7,21.8,346.4,1015.3,49.7,52.9,290,25,8,,2014-05-29T05:56:29,2014-05-29T21:20:11,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-30,22.7,13.3,18,22.7,13.3,18,8.5,55.3,0.144,100,16.67,rain,0,0,47.9,29,344.9,1016.6,51.9,51.3,271.1,23.4,8,,2014-05-30T05:55:49,2014-05-30T21:21:07,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-05-31,21.5,12.2,17,21.5,12.2,17,7.5,55.7,0.004,100,4.17,rain,0,0,39.8,24.1,352.8,1018.3,28.8,45.9,359.7,31,10,,2014-05-31T05:55:11,2014-05-31T21:22:01,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-01,22.9,10.8,17.5,22.9,10.8,17.5,6.5,50.3,0,0,0,,0,0,36.8,23,342.2,1019.4,49,47.5,341.5,29.4,10,,2014-06-01T05:54:35,2014-06-01T21:22:54,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-02,21.4,11.6,17.1,21.4,11.6,17.1,6.9,52.2,0,0,0,,0,0,41.9,20.7,338.2,1018.7,83.4,47.3,250.4,21.7,8,,2014-06-02T05:54:02,2014-06-02T21:23:45,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-03,22.9,10.8,17.9,22.9,10.8,17.9,8.6,56.4,0,0,0,,0,0,34.6,14.8,352.4,1015.6,57,45,306.1,26.3,9,,2014-06-03T05:53:30,2014-06-03T21:24:34,0.18,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-04,19.4,14.4,16.5,19.4,14.4,16.5,11.3,71.8,3.731,100,25,rain,0,0,37.2,24.3,196.4,1011.8,91.4,37.7,199.8,17.1,5,,2014-06-04T05:53:02,2014-06-04T21:25:22,0.22,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-05,22.6,11.8,16.9,22.6,11.8,16.9,8.5,60.6,0,0,0,,0,0,30.7,11.4,26.5,1015.3,52.8,50.4,325.9,28,9,,2014-06-05T05:52:35,2014-06-05T21:26:08,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-06,26.6,12.2,20.5,26.6,12.2,20.5,9.7,53.2,0,0,0,,0,0,57.1,33.8,173.3,1014.5,54,48,324.6,28.1,9,,2014-06-06T05:52:11,2014-06-06T21:26:53,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-07,30.3,17.7,24.4,28.9,17.7,23.9,9.6,40.7,0,0,0,,0,0,56.4,34.3,166.5,1014.8,36,49.1,350,30.1,9,,2014-06-07T05:51:49,2014-06-07T21:27:35,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-08,33.1,17.9,26.2,31,17.9,25.4,9.1,36.1,0,0,0,,0,0,54.9,35.3,167.8,1016.6,17.3,48.4,352.3,30.6,9,,2014-06-08T05:51:29,2014-06-08T21:28:16,0.35,Clear,Clear conditions throughout the day.,clear-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-09,34.3,17.9,27.1,32.3,17.9,26.2,9.3,34.9,0,0,0,,0,0,51.2,28.7,160.5,1015.6,48.7,44.3,351.2,30.2,9,,2014-06-09T05:51:12,2014-06-09T21:28:55,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-10,34,19.2,26.3,32.5,19.2,25.9,12.3,44.7,4.237,100,12.5,rain,0,0,58.1,20.6,132.5,1017.3,63,43.2,304.3,26.2,9,,2014-06-10T05:50:58,2014-06-10T21:29:32,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07475099999,LFLY,07481099999,07477099999,07480099999,07486099999,07482099999,07385099999"
auvergne rhone alpes,2014-06-11,29.9,16.2,23.4,29.3,16.2,23.3,14.3,59.7,0.155,100,20.83,rain,0,0,33.2,19.8,353.3,1021.4,28.5,50.5,308.9,26.5,8,,2014-06-11T05:50:45,2014-06-11T21:30:07,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-12,30.7,20.8,25.7,31.5,20.8,26,17,59.8,0,0,0,,0,0,35.4,20.4,349.3,1020.6,42.5,42.5,159.2,13.7,5,,2014-06-12T05:50:35,2014-06-12T21:30:40,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LFLS,07475099999,LFLY,07481099999,LFMH,LFLL,07477099999,07480099999,07486099999,07482099999"
auvergne rhone alpes,2014-06-13,30.2,20.4,25.2,30,20.4,25.3,15.8,57.1,0,0,0,,0,0,39.9,22.5,349.7,1017.2,44.9,41,217.5,18.9,6,,2014-06-13T05:50:28,2014-06-13T21:31:11,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-14,26.2,18.2,22.1,26.2,18.2,22.1,10.6,48.7,0,0,0,,0,0,57.2,34.3,351.5,1014,46.6,49.3,288,25,7,,2014-06-14T05:50:23,2014-06-14T21:31:40,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-15,23.9,14,19.4,23.9,14,19.4,7.7,47.4,0,0,0,,0,0,48.8,28.3,347.7,1014.5,59.5,52.4,233.1,20.2,6,,2014-06-15T05:50:20,2014-06-15T21:32:07,0.58,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-16,25.9,14.7,20.4,25.9,14.7,20.4,7.4,44.3,0,0,0,,0,0,52.2,30.5,350.9,1014.9,25.6,53.3,351.4,30.5,9,,2014-06-16T05:50:20,2014-06-16T21:32:32,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-17,24,14.9,18.7,24,14.9,18.7,9.1,54.9,3.548,100,16.67,rain,0,0,49.8,30.8,352,1015.3,80,41,302.7,26.1,9,,2014-06-17T05:50:22,2014-06-17T21:32:54,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-18,22.8,14.2,17.5,22.8,14.2,17.5,11.8,70.6,2.285,100,37.5,rain,0,0,31.7,13.4,356.3,1017,92.4,33.8,168.3,14.5,5,,2014-06-18T05:50:26,2014-06-18T21:33:14,0.69,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-19,26.5,12.3,19.6,26.5,12.3,19.6,11.6,64.5,0.345,100,20.83,rain,0,0,33.2,16.3,6.1,1017.9,38.8,27.2,317.2,27.3,9,,2014-06-19T05:50:33,2014-06-19T21:33:32,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-20,26.7,15.8,21.5,26.7,15.8,21.5,9.1,46.7,0.004,100,4.17,rain,0,0,36,18.5,358.4,1016.4,19.2,53.8,362.6,31.4,10,,2014-06-20T05:50:42,2014-06-20T21:33:48,0.76,Rain,Clear conditions throughout the day with morning rain.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-21,28.4,14.3,21.6,27.1,14.3,21.4,8,44.4,0,0,0,,0,0,24.9,13.3,2.3,1015.4,35.1,49.4,364.2,31.5,10,,2014-06-21T05:50:53,2014-06-21T21:34:01,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-22,31.4,16.1,24.3,30.4,16.1,24.1,12.3,48.5,0,0,0,,0,0,22,11.6,32.6,1015.8,66.2,45.5,255.9,22.1,9,,2014-06-22T05:51:06,2014-06-22T21:34:12,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-23,29.9,18.7,23.7,28.9,18.7,23.5,11.9,49.2,0.165,100,8.33,rain,0,0,37.8,21.9,296.5,1016.3,74.1,50.2,248.7,21.3,8,,2014-06-23T05:51:22,2014-06-23T21:34:21,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-24,25.6,17.1,21.2,25.6,17.1,21.2,14.7,67.9,0.05,100,16.67,rain,0,0,34.3,19.8,347.8,1014.4,90.1,37,266.6,23,8,,2014-06-24T05:51:40,2014-06-24T21:34:27,0.9,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-25,27.4,16.4,22.4,26.5,16.4,22.3,9.6,46.3,0,0,0,,0,0,50.7,27.6,347.3,1010.1,24.9,49.4,356.4,30.9,10,,2014-06-25T05:52:00,2014-06-25T21:34:31,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-26,26.7,14.6,21.6,26.4,14.6,21.6,8.3,43.9,0,0,0,,0,0,35.2,20,354,1012.7,28.2,51.8,358.4,31,10,,2014-06-26T05:52:22,2014-06-26T21:34:33,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-27,27.7,15.6,22.3,27,15.6,22.2,11.1,51.1,0,0,0,,0,0,30,17.7,0.1,1015.9,73.5,46.3,278.6,24.2,8,,2014-06-27T05:52:47,2014-06-27T21:34:32,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-28,29,18.5,22.8,28.4,18.5,22.8,13.3,56.6,0.08,100,8.33,rain,0,0,76.1,44.7,183.1,1011.9,90.8,41.4,255.9,22.2,8,,2014-06-28T05:53:13,2014-06-28T21:34:29,0.04,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-29,22.2,15.8,18.3,22.2,15.8,18.3,11.3,66.3,9.877,100,50,rain,0,0,58.9,33.3,210.4,1013.5,93.1,43.1,272.2,23.5,9,,2014-06-29T05:53:42,2014-06-29T21:34:23,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-06-30,23.1,14.3,18.4,23.1,14.3,18.4,9,56.6,0.012,100,8.33,rain,0,0,28.6,12.6,16.1,1017.7,65.1,55.4,341,29.5,10,,2014-06-30T05:54:13,2014-06-30T21:34:15,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-07-01,26.9,11.5,19.7,26.4,11.5,19.7,9.2,54.4,0,0,0,,0,0,36.7,19.4,136.8,1015.5,53.2,49.5,290.9,24.9,9,,2014-07-01T05:54:45,2014-07-01T21:34:04,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2014-07-02,25.3,16.3,20.1,25.3,16.3,20.1,14.4,72.1,6.875,100,45.83,rain,0,0,31.7,14.6,129.6,1018.5,78.6,35,163.8,14,5,,2014-07-02T05:55:20,2014-07-02T21:33:51,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LFLY,07475099999,07481099999,07477099999,07480099999,07486099999,07482099999,07385099999"
auvergne rhone alpes,2014-07-03,29.9,15.1,22.7,29,15.1,22.5,14,61.8,0.144,100,4.17,rain,0,0,22.9,10.4,68.3,1021.4,32.1,43.7,346.7,29.9,10,,2014-07-03T05:55:56,2014-07-03T21:33:35,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
